s,n
601216,57400
600028,28200
2429,18400
2475,1900
601336,1300
799,700
601138,4400
2027,5800
2156,2000
600765,3200
601899,6300
600109,3200
2151,1000
300782,100
600276,500
776,2500
300482,600
300413,600
568,200
2736,2600
975,3600
2812,300
2384,1100
600521,900
600409,3400
603517,400
600667,2700
601801,5700
2506,7200
21,1400
629,12100
2555,1000
987,1700
300059,1000
300244,800
600808,10200
600733,2900
603233,300
300124,200
2389,600
600909,2000
600048,900
2709,200
600298,300
603737,100
2368,500
651,200
600872,200
600760,200
600845,200
2318,1200
2375,1400
2311,200
600782,2600
2230,300
2572,400
603338,100
603659,100
895,200
300373,200
300073,200
600009,100
34,300
********
s,p
000001,19.3
000002,30
000004,26.26
000005,2.61
000006,5.76
000007,8.14
000008,2.76
000009,7.22
000010,4.15
000011,13.58
000012,6.75
000014,9.21
000016,6.86
000017,2.57
000019,8.03
000020,10.44
000021,21.35
000023,17.32
000025,18.88
000026,12.63
000027,5.6
000028,51.73
000029,8.58
000030,7.43
000031,4.87
000032,21.43
000034,24.27
000035,4.61
000036,4.2
000037,11.36
000038,11.38
000039,14.81
000040,3.4
000042,9.18
000045,8.01
000046,4.01
000048,24
000049,51.9
000050,15.84
000055,4.71
000056,3.38
000058,7.07
000059,5.72
000060,4.8
000061,6.98
000062,14.27
000063,34.81
000065,7.99
000066,15.4
000068,3.08
000069,7.09
000070,10.34
000078,4.16
000088,6.85
000089,8.82
000090,6.78
000096,10.2
000099,7.67
000100,7.19
000150,3.14
000151,8.84
000153,8.53
000155,6.46
000156,9.68
000157,10.22
000158,7.49
000159,5.68
000166,5.43
000301,10.11
000333,88.36
000338,17.03
000400,16.21
000401,15.72
000402,6.86
000403,42.28
000404,4.32
000407,4.75
000408,8.08
000409,4.15
000410,4.3
000411,20.11
000413,2.79
000415,2.8
000416,6.07
000417,5.35
000419,5.14
000420,2.08
000421,6.21
000422,3.01
000423,44.28
000425,5.74
000426,7.68
000428,2.81
000429,6.8
000430,5.04
000488,6.6
000498,5.18
000501,12.83
000502,7.83
000503,10.85
000504,11.98
000505,9.04
000506,2.66
000507,5.77
000509,2.41
000510,4.53
000513,44.33
000514,4.01
000516,8.9
000517,3.15
000518,4.78
000519,10
000520,3.51
000521,3.42
000523,3.99
000524,8.15
000525,7.09
000526,57.64
000528,7.89
000529,7.12
000530,3.85
000531,9.72
000532,13.47
000533,3.09
000534,13.55
000536,2.33
000537,6.73
000538,101.15
000539,3.82
000540,3.46
000541,6.05
000543,4.09
000544,7.28
000545,3.59
000546,7.95
000547,22.1
000548,4.19
000550,19.35
000551,9.4
000552,3.06
000553,8.4
000554,4.77
000555,17.53
000557,3.47
000558,3.37
000559,6.25
000560,3.9
000561,7.28
000563,3.9
000564,3.18
000565,5.28
000566,8.94
000567,10.18
000568,190.8
000570,5.03
000571,2.99
000572,3.07
000573,3.09
000576,10.98
000581,25.71
000582,11.17
000584,6.36
000585,1.86
000586,8.33
000587,1.54
000589,6.61
000590,9.98
000591,4.82
000592,2.96
000593,5.85
000595,2.13
000596,226
000597,5.57
000598,5.08
000599,4.7
000600,5.64
000601,7.09
000603,15.11
000605,6.25
000606,4.07
000607,4.08
000608,3.84
000609,5.6
000610,8.93
000611,3.23
000612,7.35
000613,6.05
000615,5.29
000616,2.7
000617,7.2
000619,6.7
000620,2.89
000622,3.86
000623,17.55
000625,24.8
000626,10.37
000627,5.26
000628,8.52
000629,2.42
000630,2.67
000631,2.89
000632,4.25
000633,4.68
000635,8.55
000636,36.3
000637,4.38
000638,7.98
000639,5.97
000650,6.71
000651,69
000652,4.86
000655,8.33
000656,7.86
000657,7.3
000659,2.68
000661,390.4
000662,1.19
000663,3.89
000665,5.02
000666,8.72
000667,3.97
000668,16.21
000669,2.29
000671,7.15
000672,22.85
000673,1.42
000676,6.1
000677,3.01
000678,5.07
000679,3.28
000680,3.87
000681,15.94
000682,5.13
000683,2.24
000685,8.73
000686,10.18
000687,1.82
000688,10.62
000690,7.15
000691,5.43
000692,3.14
000695,6.94
000697,9.42
000698,5.11
000700,6.39
000701,5.91
000702,6.25
000703,13.02
000705,7.88
000707,2.42
000708,20.84
000709,2.26
000710,44.15
000711,3.13
000712,16
000713,10.38
000715,5.54
000716,3.48
000717,4.83
000718,3.32
000719,7.36
000720,4.06
000721,4.35
000722,6.51
000723,6.71
000725,5.36
000726,7.1
000727,2.5
000728,9.26
000729,8.58
000731,5.17
000732,3.86
000733,45.3
000735,10.08
000736,7.15
000737,4.27
000738,21.06
000739,23.45
000750,5.8
000751,3.69
000752,3.62
000753,3.03
000755,3.72
000756,9.9
000757,4.81
000758,5.15
000759,6.75
000761,3.38
000762,12.35
000766,4.72
000767,2.57
000768,31.09
000776,17.06
000777,12.66
000778,3.83
000779,10.17
000780,3.41
000782,3.54
000783,8.69
000785,8.32
000786,39
000788,6.76
000789,14.77
000790,5.09
000791,3.85
000793,2.92
000795,5.87
000796,13.79
000797,3.31
000798,10.5
000799,115.1
000800,12.33
000801,5.98
000802,7.22
000803,14.14
000806,1.75
000807,8.91
000809,2.16
000810,9.2
000811,8.17
000812,3.16
000813,6.46
000815,5.85
000816,3.4
000818,20.07
000819,7.39
000820,1.09
000821,7.03
000822,3.9
000823,12.88
000825,3.74
000826,7.56
000828,9.64
000829,7.15
000830,13.25
000831,14.3
000833,4.77
000835,1.69
000836,3.15
000837,7.18
000838,3
000839,2.67
000848,7.26
000850,4.2
000851,7.68
000852,4.83
000856,8.32
000858,267.19
000859,5.76
000860,62.6
000861,2.68
000862,4.2
000863,5.07
000868,4.4
000869,38.8
000875,4.02
000876,26.57
000877,16.24
000878,16.11
000880,10.15
000881,8.99
000882,2.01
000883,4
000885,12.11
000886,5.7
000887,12.44
000888,6.04
000889,5.97
000890,2.68
000892,3.18
000893,9.11
000895,48.08
000897,2.66
000898,3.16
000899,4.73
000900,3.98
000901,10.37
000902,13.85
000903,4.35
000905,7.35
000906,7.12
000908,5.49
000909,8.42
000910,17.42
000911,7.99
000912,4.24
000913,25.47
000915,26.48
000917,5.56
000918,4.31
000919,6.8
000920,8.15
000921,15.55
000922,7.87
000923,25.32
000925,7.13
000926,5.32
000927,4.35
000928,4.23
000929,9.13
000930,9.2
000931,7.81
000932,5.28
000933,7.96
000935,13.65
000936,7.74
000937,3.97
000938,23.07
000948,10.92
000949,3.54
000950,5.58
000951,34.99
000952,8.34
000953,4.92
000955,7.25
000957,8.34
000958,4.59
000959,4.07
000960,10.79
